type,question,answer
UNTYPED,What religion is Babur affiliated with?,Islam
UNTYPED,What city owns the American Airlines Center?,Dallas
UNTYPED,Who developed the Acura EL?,Honda
UNTYPED,In which country is Bundesautobahn 14 the most popular route?,Germany
UNTYPED,In what city did Otto von Bismarck work?,Berlin
UNTYPED,What continent does the Viking Age belong to?,Europe
UNTYPED,What is the capital of the Kingdom of Egypt?,Cairo
UNTYPED,What language is spoken in Helsinki?,Finnish
UNTYPED,What was the language of El Mercurio a mixture of?,Spanish
UNTYPED,Who created iTunes Remote?,Apple
UNTYPED,What is Luciano Pavarotti known for performing in?,opera
UNTYPED,Where was Chanel started?,Paris
UNTYPED,What is the capital of Peru?,Lima
UNTYPED,What is the native language of Viacheslav Belavkin?,Russian
UNTYPED,In which country is Eredivisie located?,Netherlands
UNTYPED,What sport does Moses Malone professionally play?,basketball
UNTYPED,In what country was Nonchan Noriben created?,Japan
UNTYPED,To which continent does Howard Glacier belong?,Antarctica
UNTYPED,What continent does the United Kingdom of the Netherlands belong to?,Europe
UNTYPED,Where is Alitalia-Linee Aeree Italiane headquartered?,Rome
UNTYPED,What is the native language of Corinne Calvet?,French
UNTYPED,What is the native language of Bernard Giraudeau?,French
UNTYPED,To which continent does Schreckhorn belong?,Europe
UNTYPED,What language is Amar en tiempos revueltos a mixture of?,Spanish
UNTYPED,Where did Banco di Napoli originate?,Naples
UNTYPED,"What language is used by Pedro Caro, 3rd Marquis of la Romana a clear reference to?",Spanish
UNTYPED,What instrument did Jimi Hendrix play?,guitar
UNTYPED,In what language is France Dimanche written?,French
UNTYPED,What language is spoken in Sundsvall Municipality?,Swedish
UNTYPED,Who owns Bing Videos?,Microsoft
UNTYPED,In what language is El Diario de Hoy written?,Spanish
UNTYPED,Who developed the Lumia series?,Microsoft
UNTYPED,What was the language of Electricidad a mixture of?,Spanish
UNTYPED,What is the capital of the Kingdom of Great Britain?,London
UNTYPED,Where was Masako Natsume born?,Tokyo
UNTYPED,What position does Masaichi Kaneda play as a left-handed?,pitcher
UNTYPED,What is the native language of Anastasy Vonsyatsky?,Russian
UNTYPED,Where are the headquarters of the Liquor Control Board of Ontario?,Toronto
UNTYPED,Who developed Chromecast?,Google
UNTYPED,Who is Clement VIII?,pope
UNTYPED,What sport does Teemu Sälännä professionally play?,hockey
UNTYPED,Who developed Final Cut Pro X?,Apple
UNTYPED,Who owns Office Online?,Microsoft
UNTYPED,Where is Gamescom located?,Cologne
UNTYPED,Who develops macOS?,Apple
UNTYPED,Where was Emilia Rydberg born?,Stockholm
UNTYPED,Where was Richard Rawlinson born?,London
UNTYPED,In which country is Gavork-e Nalin Rural District located?,Iran
UNTYPED,What company produces Windows Genuine Advantage?,Microsoft
UNTYPED,What musical styles does The Bays perform?,jazz
UNTYPED,What is Germaine Greer's domain of work?,feminism
UNTYPED,In what city did Georges Ernest Boulanger work?,Paris
UNTYPED,Who develops iPhone?,Apple
UNTYPED,What language is spoken in Iran?,Persian
UNTYPED,What language is different from the one used by Guido Pieters?,Dutch
UNTYPED,Where is the headquarter of All India Anna Dravida Munnetra Kazhagam located?,Chennai
UNTYPED,In what city did Sandro Botticelli die?,Florence
UNTYPED,In what city did William Bayliss die?,London
UNTYPED,What position does Yannick Cahuzac play as?,midfielder
UNTYPED,In what city did Jules Moch work?,Paris
UNTYPED,Where is the headquarter of State University of New York located?,Albany
UNTYPED,What religion does the Northern Nigeria Protectorate follow?,Islam
UNTYPED,In what city did Antonio Marcello Barberini die?,Rome
UNTYPED,What position does Pekka Rinne play?,goaltender
UNTYPED,What citizenship does Giuseppe Angeli have?,Ital
UNTYPED,In which country is Gmina Kleczew located?,Poland
UNTYPED,In what language is Le cose che vivi written?,Italian
UNTYPED,For whom does Mishal Husain work?,BBC
UNTYPED,What position does Sean Glennon play?,quarterback
UNTYPED,Where is the Catalan self-determination referendum located?,Catalonia
UNTYPED,Who employs Scott Forstall?,Apple
UNTYPED,To which continent does Kirkpatrick Glacier belong?,Antarctica
UNTYPED,What country is Sadeq Larijani a citizen of?,Iran
UNTYPED,What is the original language of Voodoo Lounge?,English
UNTYPED,On which network was Elizabeth R originally aired?,BBC
UNTYPED,In what country was Scania created?,Sweden
UNTYPED,What country is Dawid Janowski a citizen of?,Poland
UNTYPED,Who owns Mojang?,Microsoft
UNTYPED,What is the native language of Laurent Lafitte?,French
UNTYPED,"Where is Hope and Anchor, Islington located?",London
UNTYPED,What position does D'Qwell Jackson play?,linebacker
UNTYPED,In what country was Hidamari Sketch created?,Japan
UNTYPED,What is the capital city of the Second Polish Republic?,Warsaw
UNTYPED,Where is the headquarter of Weta Digital located?,Wellington
UNTYPED,Where was Riona Hazuki born?,Tokyo
UNTYPED,Who created LGA 775?,Intel
UNTYPED,In which state can Kalamazoo County be found?,Michigan
UNTYPED,In what city did Jean-Joseph de Mondonville die?,Paris
UNTYPED,What is the native language of Nicolaas Pierson?,Dutch
UNTYPED,In which city did Buenaventura Durruti pass away in a hospital?,Madrid
UNTYPED,What position does Mike Piazza play?,catcher
UNTYPED,Where is Pennzoil's headquarters?,Houston
UNTYPED,On what network did Rowan & Martin's Laugh-In debut?,NBC
UNTYPED,In which country is Mizoram located?,India
UNTYPED,What is the native language of Lee Chang-dong?,Korean
UNTYPED,In what language is Le Quotidien de Paris written?,French
UNTYPED,Where did Big Love premiere?,HBO
UNTYPED,In which country was Magne Robo Gakeen created?,Japan
UNTYPED,What language is Il Postino: The Postman written in?,Italian
UNTYPED,Where is the Royal National Theatre located?,London
UNTYPED,In which country is Taksim Military Barracks located?,Turkey
UNTYPED,Who employs Adam Curtis?,BBC
UNTYPED,What is the capital of the Philippines?,Manila
UNTYPED,Who developed the iPhone 3GS?,Apple
UNTYPED,What is the native language of Nathalie Kosciusko-Morizet?,French
UNTYPED,Where is Nikon headquartered and when was it formed?,Tokyo
UNTYPED,What is the native language of Henriette-Julie de Murat?,French
UNTYPED,Where is Harvard Law School located?,Cambridge
UNTYPED,What sport did Walter Payton professionally play?,football
UNTYPED,What position does Eusebius of Vercelli have?,bishop
UNTYPED,What country is Mohsen Mirdamadi a citizen of?,Iran
UNTYPED,What language is spoken in Yamalo-Nenets Autonomous Okrug?,Russian
UNTYPED,What is the original language of Der kleine Vampir?,German
UNTYPED,Where is the Hungarian Ladies Open located?,Budapest
UNTYPED,In what language is A las Barricadas written?,Spanish
UNTYPED,What country is Jean-Pierre Van Rossem from?,Belgium
UNTYPED,What instrument does Paul McCartney play?,piano
UNTYPED,What genre is that played by Casa Loma Orchestra?,jazz
UNTYPED,What language is France Info written in?,French
UNTYPED,In what country was Ylvis created?,Norway
UNTYPED,"Where is Sleater-Kinney, a feminist punk band founded in 1991, from?",Olympia
UNTYPED,Who employs David Dimbleby?,BBC
UNTYPED,What genre does Christopher Paolini play?,fantasy
UNTYPED,Who developed Process Explorer?,Microsoft
UNTYPED,What field of study does the European Physical Journal specialize in?,physics
UNTYPED,What is the capital of Massachusetts?,Boston
UNTYPED,Who employs Chris Cuomo?,CNN
UNTYPED,What instrument does Francis Poulenc perform on?,piano
UNTYPED,Where is Ajinomoto Stadium?,Tokyo
UNTYPED,Where did the 1993 Bombay bombings take place?,Mumbai
UNTYPED,What sport does Jaromír Jágr professionally play?,hockey
UNTYPED,In which country is Kluuvi located?,Finland
UNTYPED,Who developed Wii U?,Nintendo
UNTYPED,In which country is Kamchatka Krai located?,Russia
UNTYPED,Which citizenship had the people who wrote Odnoklassniki in the early 1990s?,Russian
UNTYPED,In what city did Charles Louis Alphonse Laveran die?,Paris
UNTYPED,What position does Ivan Gudelj play in?,midfielder
UNTYPED,Who developed Game & Watch?,Nintendo
UNTYPED,In what city did Charles Nodier die?,Paris
UNTYPED,Who employs Jonathan Pearce?,BBC
UNTYPED,Who employs Dan Le Batard?,ESPN
UNTYPED,Who employs Triple H?,WWE
UNTYPED,Where was Georges Duhamel born?,Paris
UNTYPED,Who developed Mario Bros.?,Nintendo
UNTYPED,What position does Jason Campbell play?,quarterback
UNTYPED,In what language is Charlie Hebdo written?,French
UNTYPED,Who owns Gangnam Station?,Seoul
UNTYPED,What is the official language of Melitopol?,Ukrainian
UNTYPED,What is the original language of Disquisitiones Arithmeticae?,Latin
UNTYPED,What sport does Pat Tillman professionally play?,football
UNTYPED,Who owns YouTube?,Google
UNTYPED,In what city did Jan Swammerdam die?,Amsterdam
UNTYPED,In which country is Higashikagawa located?,Japan
UNTYPED,Who developed the C-135 Stratolifter?,Boeing
UNTYPED,What genre does Riverworld mix?,fantasy
UNTYPED,What is Sachimi Iwao's citizenship?,Japan
UNTYPED,To which continent does Northwind Glacier belong?,Antarctica
UNTYPED,What language is spoken in Ruokolahti?,Finnish
UNTYPED,Where did Coco Chanel pass away?,Paris
UNTYPED,Who developed Game Boy Advance?,Nintendo
UNTYPED,In what language is Sesamstraat written?,Dutch
UNTYPED,Who developed Amiibo?,Nintendo
UNTYPED,What language is very similar to the language used by Ch'ien Mu?,Chinese
UNTYPED,Who developed the EA-18G Growler?,Boeing
UNTYPED,What is John Coltrane's domain of work?,jazz
UNTYPED,In which country is the Vale of Glamorgan located?,Wales
UNTYPED,What is the capital of the Hungarian Soviet Republic?,Budapest
UNTYPED,Where did Outside the Lines debut?,ESPN
UNTYPED,What language is spoken in Grenada?,English
UNTYPED,Where is Swedish Orphan Biovitrum headquartered?,Stockholm
UNTYPED,What religion does Hersekzade Ahmed Pasha follow?,Islam
UNTYPED,In what city did Donato Bramante die?,Rome
UNTYPED,What is Michael Dorn's profession?,actor
UNTYPED,What religion does Al-Mutawakkil follow?,Islam
UNTYPED,Who develops Internet Explorer?,Microsoft
UNTYPED,What religion is Selim I affiliated with?,Islam
UNTYPED,What language was Il giuramento originally written in?,Italian
UNTYPED,What is Akira Toriyama's domain of work?,manga
UNTYPED,What role does Miles Davis play?,jazz
UNTYPED,Where is the Maryland Film Festival located?,Baltimore
UNTYPED,"In which country is Saint-Louis-de-Kent, New Brunswick located?",Canada
UNTYPED,What is the native language of Pierre Lescure?,French
UNTYPED,What religion is Muawiyah I a believer of?,Islam
UNTYPED,What field was Tycho Brahe an expert in?,astronomy
UNTYPED,Where is the 2005 Southeast Asian Games taking place?,Philippines
UNTYPED,What style of music is Soultrane known for performing?,jazz
UNTYPED,What is the capital of the United Kingdom of Great Britain and Northern Ireland?,London
UNTYPED,What country created Danish pastry?,Denmark
UNTYPED,What is the capital of Ireland?,Dublin
UNTYPED,Where is the 2002 Australian Open located?,Melbourne
UNTYPED,In what city did George Newnes work?,London
UNTYPED,In what country was Limoncello created?,Italy
UNTYPED,In what city did Leon Brittan die?,London
UNTYPED,Where is the headquarters of the University of Washington?,Seattle
UNTYPED,Where is the 2004 Australian Open located?,Melbourne
UNTYPED,Who employs Alan Sugar?,BBC
UNTYPED,Where are Mitsubishi Corporation's headquarters?,Tokyo
UNTYPED,Who developed iPod Mini?,Apple
UNTYPED,What is the native language of Hendrikus Colijn?,Dutch
UNTYPED,Where is CERN located?,Geneva
UNTYPED,In which country is Sialkot district located?,Pakistan
UNTYPED,Who developed Windows Media Audio?,Microsoft
UNTYPED,What is Edward Gibbon's domain of work?,history
UNTYPED,In which country is Simcoe Composite School located?,Canada
UNTYPED,What sport did Don Shula professionally play?,football
UNTYPED,Who developed Final Fantasy III?,Square
UNTYPED,What position does Gus Poyet play in?,midfielder
UNTYPED,What is the original language of Sous le ciel de Paris?,French
UNTYPED,Who produces the B-29 Superfortress?,Boeing
UNTYPED,In what city did Yves Rocard die?,Paris
UNTYPED,Where is the headquarter of EMI located?,London
UNTYPED,In which country is Hohenlohe located?,Germany
UNTYPED,What is the capital of Hawaii?,Honolulu
UNTYPED,In what city did Madame de Montesson die?,Paris
UNTYPED,Who developed File Explorer?,Microsoft
UNTYPED,What religion is Uqba ibn Nafi affiliated with?,Islam
UNTYPED,Where does Giulio Romano originate from?,Rome
UNTYPED,On what network did The Bill Cosby Show debut?,NBC
UNTYPED,What language is spoken in Asturias?,Spanish
UNTYPED,What is the capital city of the Kingdom of Afghanistan?,Kabul
UNTYPED,In which country was Dannii Minogue created?,Australia
UNTYPED,Where is the headquarter of United Continental Holdings located?,Chicago
UNTYPED,Where did The Amazing Race premiere?,CBS
UNTYPED,What sport does Tim Horton professionally play?,hockey
UNTYPED,What is the native language of Guy Drut?,French
UNTYPED,What is the native language of Louis-Nicolas Davout?,French
UNTYPED,To which continent does Manipur belong?,Asia
UNTYPED,What religion is Muhammad affiliated with?,Islam
UNTYPED,Where was Semyon Vorontsov born?,Moscow
UNTYPED,What is the original language of De finibus bonorum et malorum?,Latin
UNTYPED,What area does Leonard Peikoff work in?,philosophy
UNTYPED,What country is Eiko Shimamiya a citizen of?,Japan
UNTYPED,Who developed Internet Explorer 10?,Microsoft
UNTYPED,What instrument does Alice Coltrane perform on?,piano
UNTYPED,What is Petros Voulgaris's citizenship?,Gree
UNTYPED,"What genre does Chris McGregor perform in, in addition to rock?",jazz
UNTYPED,On what network did Late Night with Conan O'Brien debut?,NBC
UNTYPED,To which continent does Urdoviza Glacier belong?,Antarctica
UNTYPED,What was the capital of the Latin Empire?,Constantinople
UNTYPED,What religion does Farrukhsiyar follow?,Islam
UNTYPED,Where did Giuseppe Baini die?,Rome
UNTYPED,Which company's developers created IntelliPoint?,Microsoft
UNTYPED,Where did Evgeny Lifshitz pass away?,Moscow
UNTYPED,Where is the Norwegian Museum of Cultural History located?,Oslo
UNTYPED,Who developed the MacBook Air?,Apple
UNTYPED,What language is Dwynwen a mixture of?,Welsh
UNTYPED,What religion is Reconstructionist Rabbinical College affiliated with?,Judaism
UNTYPED,What is the native language of Delphine de Girardin?,French
UNTYPED,Where is the Bavarian National Museum located?,Munich
UNTYPED,Where does NBA Shootaround premiere?,ESPN
UNTYPED,What is the capital of Fatimid caliphate?,Cairo
UNTYPED,In what language is Die Tageszeitung written?,German
UNTYPED,What is caffeine named after?,coffee
UNTYPED,Who employs Simon McCoy?,BBC
UNTYPED,What position does Fulgentius of Ruspe have?,bishop
UNTYPED,What is the original language of Neethaane En Ponvasantham?,Tamil
UNTYPED,To which continent does the Rhine belong?,Europe
UNTYPED,"In which city did Jennie Lee, Baroness Lee of Asheridge work?",London
UNTYPED,What is Michael Faraday a professor of?,physics
UNTYPED,Where is Koichi Ishii native to?,Japan
UNTYPED,Where is the headquarters of the Russian State Archive of Literature and Art?,Moscow
UNTYPED,What language was used in Ni es lo mismo ni es igual?,Spanish
UNTYPED,Who employs Tim Cook?,Apple
UNTYPED,"In which city did Sir Francis Baring, 1st Baronet work?",London
UNTYPED,To which continent does the Gambia River belong?,Africa
UNTYPED,Where is the Patuxent Wildlife Research Center located?,Maryland
UNTYPED,"What language did William Fitzwilliam, 4th Earl Fitzwilliam use?",English
UNTYPED,What type of music does De-Phazz play?,jazz
UNTYPED,What area does the Physiological Society work in?,physiology
UNTYPED,What title does Annise Parker hold as the first openly gay person?,mayor
UNTYPED,What instrument did Aretha Franklin play?,piano
UNTYPED,What is the capital of the Khedivate of Egypt?,Cairo
UNTYPED,Who developed iPhone 1?,Apple
UNTYPED,What citizenship does Izzy Asper have?,Canad
UNTYPED,What is Jeff Zucker associated with?,CNN
UNTYPED,What field is the expertise of Paracelsus in?,medicine
UNTYPED,What is Stephen Jay Gould's domain of work?,evolution
UNTYPED,What position did Gregory of Nazianzus hold?,bishop
UNTYPED,In what language is Mas Canciones written?,Spanish
UNTYPED,What language was the original version of Kadhalil Sodhappuvadhu Yeppadi written in?,Tamil
UNTYPED,Who developed Pentium 4?,Intel
UNTYPED,What religious office does Saint Domnius have?,bishop
UNTYPED,What religion does Ibn Battuta follow?,Islam
UNTYPED,What city was Pittsburg County named after?,Pittsburgh
UNTYPED,What language is spoken in Kauniainen?,Finnish
UNTYPED,In what country was Saikano created?,Japan
UNTYPED,In which city did Michael Foot work?,London
UNTYPED,What is Beijing named after?,capital
UNTYPED,What position does Florent Cuvelier play in?,midfielder
UNTYPED,In what language is RIA Novosti written?,Russian
UNTYPED,What country Adriano Celentano's citizenship is from?,Ital
UNTYPED,In what language is Le Moniteur Universel written?,French
UNTYPED,What does Werner Heisenberg work as?,physicist
UNTYPED,What religion is Muhammad Asad affiliated with?,Islam
UNTYPED,What language is spoken in the State of Brazil?,Portuguese
UNTYPED,To which continent does Kirkby Glacier belong?,Antarctica
UNTYPED,What genre is played by Mercer Ellington?,jazz
UNTYPED,Who produces the Wii Balance Board?,Nintendo
UNTYPED,In which country is Brandon University located?,Canada
UNTYPED,Who owns Bing Maps?,Microsoft
UNTYPED,In which country is TUIfly Nordic located?,Sweden
UNTYPED,To which continent does Lake Vostok belong?,Antarctica
UNTYPED,Where was the 2013 Australian Open located?,Melbourne
UNTYPED,Who owns Goodreads?,Amazon
UNTYPED,Who owns Showtime Networks?,CBS
UNTYPED,To which continent does Chandigarh belong?,Asia
UNTYPED,Who employs Delia Derbyshire?,BBC
UNTYPED,Where is Vinson Massif located?,Antarctica
UNTYPED,Where is Mount Foster located?,Antarctica
UNTYPED,Where is Faygo's headquarters located?,Detroit
UNTYPED,What is the native language of Roger Garaudy?,French
UNTYPED,What is the native language of Luc Besson?,French
UNTYPED,What is the capital of Denmark?,Copenhagen
UNTYPED,Where was Nicolas Gigault born?,Paris
UNTYPED,Where is Godrej Consumer Products Limited headquartered?,Mumbai
UNTYPED,What is the capital of the Kingdom of Iraq?,Baghdad
UNTYPED,Where does Wednesday Night Baseball premiere?,ESPN
UNTYPED,What religion is Hamza ibn Abdul-Muttalib affiliated with?,Islam
UNTYPED,Where was Adam Kendon born?,London
UNTYPED,In which country is Fryderyk Chopin University of Music located?,Poland
UNTYPED,What sport does Phil Jackson professionally play?,basketball
UNTYPED,What sport does Stephen Curry professionally play?,basketball
UNTYPED,What is the capital of the Kingdom of Bavaria?,Munich
UNTYPED,Where is Rogers Media based?,Toronto
UNTYPED,What country is Mykola Tomenko a citizen of?,Ukraine
UNTYPED,Where is Miyuki Sawashiro originally from?,Tokyo
UNTYPED,Where was Henri Debain born?,Paris
UNTYPED,What language is spoken in Chiasso?,Italian
UNTYPED,Who developed the Lexus LF?,Toyota
UNTYPED,Who developed Sandy Bridge?,Intel
UNTYPED,Who was Gregory XII?,pope
UNTYPED,What language is the original version of Il Posto a mixture of?,Italian
UNTYPED,"In which city did Hugh Cairns, 1st Earl Cairns work?",London
UNTYPED,In which state is Rocky Mountain National Park located?,Colorado
UNTYPED,What is the original language of Uutisvuoto a mixture of?,Finnish
UNTYPED,Who employs Brian Krzanich?,Intel
UNTYPED,What area of study does Michio Kaku work in?,physics
